BIZ_NAME,PRIMARY_EMAIL,PRIMARY_PHONE,LICENSE,PERMIT_ID,STREET_NO,STREET,CITY,STATE,ZIPCODE,PERMIT_DATE
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""f9e0bc213003d0b9""",7776,CANYON POINT LN,SAN DIEGO,CA,92126,2020-10-30
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""da4c02efe8e5d0d5""",5110,SAN RAFAEL AVE,LOS ANGELES,CA,90042,2012-08-15
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""c47b33e00591dbe7""",2057,WILLOW GLEN RD,FALLBROOK,CA,92028,2019-02-11
SULLIVAN ELECTRIC & PUMP INC.,stephy@sullivanelectric-pump.com,(561) 588-5886,,"""b979877e74ec9f95""",6500,SE MARINER SANDS DR,STUART,FL,34997,2023-04-14
SULLIVAN ELECTRIC LLC,,,,"""d5cdf17654e56455""",3925,CENTRAL ST,KANSAS CITY,MO,64111,2015-02-27
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""23b444846ba4d828""",3230,RIO VISTA DR,BONITA,CA,91902,2016-05-24
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""4cacbe12ba2cc4c4""",31272,PSO MONTEVIDEO,SAN JUAN CAPISTRANO,CA,92675,2018-10-25
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""2587b507e7ba3b96""",5097,OLIVE HILL RD,FALLBROOK,CA,92028,2019-05-03
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""7551f58494f9a79b""",6370,GALLAL WAY,YORBA LINDA,CA,92887,2014-06-03
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""5f291ab1885df6d3""",7426,SONOMA CREEK CT,RANCHO CUCAMONGA,CA,91739,2016-04-11
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""079ddbe5a8e96704""",3875,EL CANTO DR,SPRING VALLEY,CA,91977,2015-10-05
OSULLIVAN GREEN SOLAR,tim@osullivangreensolar.com,(408) 628-4142,1018350,"""fea70ead5e8d8462""",5981,CRIMSON DR,SAN JOSE,CA,95120,2020-07-24
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""b8be18d8d8c38fb8""",6450,RIDGE MANOR AVE,SAN DIEGO,CA,92120,2021-09-17
SULLIVAN SOLAR POWER,,,839077,"""bb30c3142c6df2fa""",4771,EDGARTOWN DR,HUNTINGTON BEACH,CA,92649,2014-05-01
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""5b8f2eafd47c35a9""",12311,WINTER GARDENS DR,LAKESIDE,CA,92040,2015-09-24
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""09538997b7b1ee8e""",7987,VALDOSTA AVE,SAN DIEGO,CA,92126,2021-05-26
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""fcdf659095e0d11c""",2130,HIDDEN MESA RD,EL CAJON,CA,92019,2014-09-16
SULLIVAN ELECTRIC & PUMP INC.,,,,"""a09d85f50a33192f""",1300,ALLENDALE RD,WEST PALM BEACH,FL,33405,2003-11-05
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""38e30604c73ad424""",31831,VIA GRANADA,SAN JUAN CAPISTRANO,CA,92675,2019-10-15
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""a456a28eb65c8e53""",1621,EL NIDO DR,FALLBROOK,CA,92028,2020-01-29
SULLIVAN ELECTRICAL,,,,"""66163654d886ad2f""",897,QUAIL HILL RD,FALLBROOK,CA,92028,2012-04-03
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""5b8cd0f853ca9fb4""",20690,COTTONWOOD RD,YORBA LINDA,CA,92887,2018-02-05
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""21084c8c7da40b90""",5245,ALZEDA DR,LA MESA,CA,91941,2015-06-12
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""cf6624370089b96c""",1852,PLZ PALO ALTO,CHULA VISTA,CA,91914,2015-06-08
SULLIVAN ELECTRIC & PUMP INC.,,,,"""ba3c9dcc90943f50""",9200,W BROWARD BLVD,PLANTATION,FL,33324,2005-08-24
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""e6672cfd1ccfea61""",15207,COVINGTON ST,TUSTIN,CA,92782,2018-10-22
SULLIVAN SOLAR POWER,,,839077,"""3011d2de5629c77b""",5085,CORINTHIA WAY,OCEANSIDE,CA,92056,2016-11-22
SULLIVAN ELECTRIC INC.,,,EC140,"""74dcbc5322caf5a6""",119,30TH AVE N,NASHVILLE,TN,37203,2004-07-22
SULLIVAN ELECTRIC & PUMP INC.,,,,"""a69ebe6dff8dc0da""",7621,S FLAGLER DR,WEST PALM BEACH,FL,33405,2006-05-02
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""f7250c2ae90c92d2""",3523,ANTIEM ST,SAN DIEGO,CA,92111,2018-11-09
SULLIVAN ELECTRICAL,,,,"""54a79c84177cdbef""",3905,PALA MESA DR,FALLBROOK,CA,92028,2012-05-24
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""78562b3bd69fee53""",4549,VER MAR DE PONDEROSA,SAN DIEGO,CA,92130,2020-07-13
SULLIVAN ELECTRIC & PUMP INC.,,,,"""d50bc68581b1696f""",,,ROYAL PALM BEACH,FL,,2011-06-16
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""c6ed58479c1ebf5e""",2374,ALTADENA AVE,SAN DIEGO,CA,92105,2020-03-24
SULLIVANS ELECTRICAL SERVICE LLC,,,,"""49138d61d91e661f""",1442,UNION ST,INDIANAPOLIS,IN,46225,2020-08-10
SULLIVAN ELECTRIC & PUMP INC.,,,,"""eeee3394f911328e""",7201,W SAMPLE RD,CORAL SPRINGS,FL,33065,2009-10-01
OSULLIVAN GREEN SOLAR,,,1018350,"""0bb066a4571f98f3""",19020,SARATOGA GLEN PL,SARATOGA,CA,95070,2018-11-07
SULLIVAN ELECTRIC,,,252903,"""400434667878fd67""",5409,REEF WAY,OXNARD,CA,93035,2001-01-16
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""2e03fac5722f5981""",15853,WILKES LN,SAN DIEGO,CA,92127,2019-06-16
SULLIVAN ELECTRIC & PUMP INC.,,,,"""44e1071ac4ace796""",3936,NW 52ST,BOCA RATON,FL,,2006-07-11
SULLIVAN ELECTRIC SERVICES CO.,,,,"""188a5d00df9f9cdb""",4800,REDAN RD,STONE MOUNTAIN,GA,30088,2007-08-14
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""ece0a00bd89e6b5d""",10274,GRAYFOX DR,SAN DIEGO,CA,92131,2019-09-23
STEPHENSON HEATING AND AI RA JACKSON ELECTRICAL/ROB DANNY SULLIVANS PLUMBING BLS INC.,,,,"""0f70833d2f970893""",2918,LAKEWOOD RD,FOUR OAKS,NC,27524,2019-04-12
SULLIVAN SOLAR POWER,,,839077,"""4c376b58db380e0b""",76,MILLAN CT,CHULA VISTA,CA,91910,2014-09-08
SULLIVAN ELECTRIC & PUMP INC.,,,,"""f53e5c8b7e34df7e""",901,S FLAGLER DR,WEST PALM BEACH,FL,33401,2002-07-18
SULLIVAN ELECTRIC INC.,,,EC140,"""0f5660b44d81b9bc""",119,30TH AVE N,NASHVILLE,TN,37203,2003-08-27
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""86c3b7cc30061132""",4886,VISTA ST,SAN DIEGO,CA,92116,2019-03-29
SULLIVAN ELECTRIC INC.,,,EC140,"""8cb2c27921e89aee""",119,30TH AVE N,NASHVILLE,TN,37203,2004-04-13
SULLIVAN ELECTRIC & PUMP INC.,,,,"""62b7eb10fbf7c6ef""",10664,SW WHOOPING CRANE WAY,PALM CITY,FL,34990,2000-11-02
SULLIVAN SOLAR POWER,,,839077,"""69c5724f675c595f""",1520,AVE ROSA,CHULA VISTA,CA,91911,2014-09-29
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""28870856eb2bca6c""",12390,GAY RIO DR,LAKESIDE,CA,92040,2019-10-09
SULLIVAN ELECTRIC & PUMP INC.,stephy@sullivanelectric-pump.com,(561) 588-5886,,"""306c509dea510688""",1008,NW MOSSY OAK WAY,JENSEN BEACH,FL,34957,2022-09-07
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""db52a0406feac15a""",13549,CHACO CT,SAN DIEGO,CA,92129,2021-05-18
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""71c4336df593fcc2""",1525,SAN BERNARDINO AVE,SPRING VALLEY,CA,91977,2018-09-12
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""9d3321089ae3056f""",5130,VIA AVANTE,RANCHO SANTA FE,CA,92067,2021-09-28
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""654530461be068e4""",2238,SAN VICENTE RD,RAMONA,CA,92065,2019-08-23
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""c01cf26be432254f""",13005,NIGHTFALL TER,SAN DIEGO,CA,92128,2021-07-14
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""115224c44e964377""",2610,JALNA LN,FALLBROOK,CA,92028,2015-11-20
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""1bf7f4fb447ece3e""",2252,AUDREY CT,FALLBROOK,CA,92028,2014-09-05
